trade_id,entry_odds,p_win_raw,p_win_clamped,kelly_raw,kelly_final,bet_size,outcome,gross_payout,net_payout_after_fee,capital_after,trailing_wr_20,circuit_breaker_active
1,0.2300,0.2712,0.3000,0.0909,0.0227,1.1364,LOSS,-1.1364,-1.1464,48.8536,,False
2,0.1700,0.2712,0.3000,0.1566,0.0392,1.9129,LOSS,-1.9129,-1.9229,46.9307,,False
3,0.6300,0.7949,0.7200,0.2432,0.0608,2.8539,WIN,1.6761,1.6242,48.5549,0.3333,False
4,0.6500,0.7308,0.7200,0.2000,0.0500,2.4277,WIN,1.3072,1.2646,49.8195,0.5000,False
5,0.6300,0.7308,0.7200,0.2432,0.0608,3.0296,WIN,1.7793,1.7248,51.5442,0.6000,False
6,0.1300,0.2712,0.3000,0.1954,0.0489,2.5180,LOSS,-2.5180,-2.5280,49.0163,0.5000,False
7,0.1600,0.2712,0.3000,0.1667,0.0417,2.0423,WIN,10.7223,10.4443,59.4605,0.5714,False
8,0.6900,0.7949,0.7200,0.0968,0.0242,1.4386,WIN,0.6463,0.6202,60.0807,0.6250,False
9,0.1100,0.2712,0.3000,0.2135,0.0534,3.2066,LOSS,-3.2066,-3.2166,56.8641,0.5556,False
10,0.2600,0.2712,0.3000,0.0541,0.0135,0.7684,LOSS,-0.7684,-0.7784,56.0857,0.5000,False
11,0.1600,0.4545,0.4545,0.3506,0.0877,4.9166,LOSS,-4.9166,-4.9266,51.1591,0.4545,False
12,0.2200,0.2712,0.3000,0.1026,0.0256,1.3118,LOSS,-1.3118,-1.3218,49.8373,0.4167,False
13,0.2100,0.2712,0.3000,0.1139,0.0285,1.4194,LOSS,-1.4194,-1.4294,48.4079,0.3846,False
14,0.1100,0.2712,0.3000,0.2135,0.0534,2.5836,LOSS,-2.5836,-2.5936,45.8143,0.3571,False
15,0.1400,0.2712,0.3000,0.1860,0.0465,2.1309,LOSS,-2.1309,-2.1409,43.6734,0.3333,False
16,0.1100,0.2712,0.3000,0.2135,0.0534,2.3309,LOSS,-2.3309,-2.3409,41.3325,0.3125,False
17,0.2500,0.2712,0.3000,0.0667,0.0167,0.6889,LOSS,-0.6889,-0.6989,40.6337,0.2941,False
18,0.2600,0.2712,0.3000,0.0541,0.0135,0.5491,LOSS,-0.5491,-0.5591,40.0746,0.2778,False
19,0.2300,0.2712,0.3000,0.0909,0.0227,0.9108,LOSS,-0.9108,-0.9208,39.1538,0.2632,False
20,0.2200,0.2712,0.3000,0.1026,0.0256,1.0039,LOSS,-1.0039,-1.0139,38.1398,0.2500,False
21,0.2300,0.2712,0.3000,0.0909,0.0227,0.8668,LOSS,-0.8668,-0.8768,37.2630,0.2500,False
22,0.1600,0.2712,0.3000,0.1667,0.0417,1.5526,LOSS,-1.5526,-1.5626,35.7004,0.2500,False
23,0.2400,0.2712,0.3000,0.0789,0.0197,0.7046,LOSS,-0.7046,-0.7146,34.9858,0.2000,False
24,0.2300,0.2712,0.3000,0.0909,0.0227,0.7951,LOSS,-0.7951,-0.8051,34.1807,0.1500,False
25,0.1700,0.2712,0.3000,0.1566,0.0392,1.3384,LOSS,-1.3384,-1.3484,32.8323,0.1000,False
26,0.0900,0.2712,0.3000,0.2308,0.0577,1.8942,LOSS,-1.8942,-1.9042,30.9281,0.1000,False
27,0.2300,0.2712,0.3000,0.0909,0.0227,0.7029,LOSS,-0.7029,-0.7129,30.2152,0.0500,False
28,0.1600,0.2712,0.3000,0.1667,0.0417,1.2590,LOSS,-1.2590,-1.2690,28.9462,,False
29,0.2600,0.2712,0.3000,0.0541,0.0135,0.3912,LOSS,-0.3912,-0.4012,28.5450,,False
30,0.0900,0.2712,0.3000,0.2308,0.0577,1.6468,LOSS,-1.6468,-1.6568,26.8882,,False
31,0.2200,0.2712,0.3000,0.1026,0.0256,0.6894,LOSS,-0.6894,-0.6994,26.1888,,False
32,0.5600,0.7308,0.7200,0.3636,0.0909,2.3808,LOSS,-2.3808,-2.3908,23.7980,,False
33,0.6600,0.7949,0.7200,0.1765,0.0441,1.0499,WIN,0.5409,0.5173,24.3153,0.0500,False
34,0.2600,0.2712,0.3000,0.0541,0.0135,0.3286,LOSS,-0.3286,-0.3386,23.9767,0.0500,False
35,0.2600,0.2712,0.3000,0.0541,0.0135,0.3240,LOSS,-0.3240,-0.3340,23.6427,0.0500,False
36,0.1300,0.2712,0.3000,0.1954,0.0489,1.1550,LOSS,-1.1550,-1.1650,22.4778,0.0500,False
37,0.6400,0.7949,0.7200,0.2222,0.0556,1.2488,WIN,0.7024,0.6749,23.1526,0.1000,False
38,0.6300,0.7143,0.7143,0.2278,0.0569,1.3185,WIN,0.7744,0.7450,23.8976,0.1500,False
39,0.2200,0.2712,0.3000,0.1026,0.0256,0.6128,LOSS,-0.6128,-0.6228,23.2749,0.1500,False
40,0.2000,0.2712,0.3000,0.1250,0.0312,0.7273,LOSS,-0.7273,-0.7373,22.5375,0.1500,False
41,0.2500,0.2712,0.3000,0.0667,0.0167,0.3756,LOSS,-0.3756,-0.3856,22.1519,0.1500,False
42,0.2200,0.2712,0.3000,0.1026,0.0256,0.5680,LOSS,-0.5680,-0.5780,21.5739,0.1500,False
43,0.1800,0.2712,0.3000,0.1463,0.0366,0.7893,LOSS,-0.7893,-0.7993,20.7746,0.1500,False
44,0.2100,0.2712,0.3000,0.1139,0.0285,0.5917,LOSS,-0.5917,-0.6017,20.1730,0.1500,False
45,0.6700,0.8333,0.7200,0.1515,0.0379,0.7641,WIN,0.3764,0.3570,20.5299,0.2000,False
46,0.6400,0.7949,0.7200,0.2222,0.0556,1.1406,WIN,0.6416,0.6155,21.1454,0.2500,False
47,0.6500,0.7949,0.7200,0.2000,0.0500,1.0573,WIN,0.5693,0.5451,21.6905,0.3000,False
48,0.5900,0.7949,0.7200,0.3171,0.0793,1.7194,WIN,1.1948,1.1549,22.8454,0.3500,False
49,0.6500,0.7949,0.7200,0.2000,0.0500,1.1423,WIN,0.6151,0.5897,23.4351,0.4000,False
50,0.6900,0.7308,0.7200,0.0968,0.0242,0.5670,WIN,0.2547,0.2384,23.6735,0.4500,False
51,0.5300,0.7949,0.7200,0.4043,0.1000,2.3673,LOSS,-2.3673,-2.3773,21.2961,0.4500,False
52,0.1000,0.2712,0.3000,0.2222,0.0556,1.1831,LOSS,-1.1831,-1.1931,20.1030,0.4500,False
