ttr_bucket,dist_bucket,odds_bucket,n,win_rate,avg_net_ev,status
1.5 - 3 min,$30 - $60,0.15 - 0.25,42,0.11904761904761904,-0.3982591476365875,❌ -EV
1.5 - 3 min,$30 - $60,0.25 - 0.40,13,0.15384615384615385,-0.4543650793650794,❌ -EV
1.5 - 3 min,$30 - $60,< 0.15,38,0.05263157894736842,-0.5529306220095694,❌ -EV
1.5 - 3 min,$60 - $100,0.15 - 0.25,2,0.5,2.046875,⚠️ LOW_N
1.5 - 3 min,< $30,0.15 - 0.25,64,0.203125,-0.07700808499757297,❌ -EV
1.5 - 3 min,< $30,0.25 - 0.40,151,0.31125827814569534,-0.06015018823725679,❌ -EV
1.5 - 3 min,< $30,< 0.15,9,0.1111111111111111,-0.16666666666666666,⚠️ LOW_N
< 1.5 min,$30 - $60,0.15 - 0.25,3,0.0,-1.0,⚠️ LOW_N
< 1.5 min,$30 - $60,< 0.15,1,0.0,-1.0,⚠️ LOW_N
< 1.5 min,< $30,0.15 - 0.25,3,0.0,-1.0,⚠️ LOW_N
< 1.5 min,< $30,0.25 - 0.40,5,0.0,-1.0,⚠️ LOW_N
> 3 min,$30 - $60,0.15 - 0.25,29,0.27586206896551724,0.37687576666212347,✅ +EV
> 3 min,$30 - $60,0.25 - 0.40,25,0.4,0.27032384190235226,✅ +EV
> 3 min,$30 - $60,< 0.15,3,0.0,-1.0,⚠️ LOW_N
> 3 min,$60 - $100,0.15 - 0.25,1,0.0,-1.0,⚠️ LOW_N
> 3 min,$60 - $100,< 0.15,1,0.0,-1.0,⚠️ LOW_N
> 3 min,< $30,0.15 - 0.25,24,0.25,0.2163517186180692,✅ +EV
> 3 min,< $30,0.25 - 0.40,127,0.29133858267716534,-0.1834548229432231,❌ -EV
